timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1493461381965,1138,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,1137,0,1
1493461383103,691,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,691,0,0
1493461383795,532,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,532,0,0
1493461384327,656,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,656,0,1
1493461384983,587,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,587,0,0
1493461385571,544,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,544,0,0
1493461386115,491,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,491,0,0
1493461386606,730,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,730,0,1
1493461387336,319,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,319,0,0
1493461387655,354,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,354,0,0
1493461388009,460,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,460,0,0
1493461388469,577,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,576,0,0
1493461389046,651,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,651,0,0
1493461389698,913,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,913,0,0
1493461390611,754,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,2,754,0,0
1493461391365,765,Request - Addressess - GET,200,OK,Addresses - GET 2-1,text,true,,299,138,1,1,765,0,1
